,Neighbors,Estimators,Confusion Matrix
0,12,50,"[260, 45, 84, 88]"
1,12,100,"[252, 53, 70, 102]"
2,12,150,"[252, 53, 71, 101]"
3,14,50,"[250, 55, 68, 104]"
4,14,100,"[252, 53, 70, 102]"
5,14,150,"[252, 53, 70, 102]"
6,16,50,"[252, 53, 67, 105]"
7,16,100,"[252, 53, 71, 101]"
8,16,150,"[252, 53, 71, 101]"
