,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[45, 16, 10, 24]"
1,300,10,"[45, 16, 7, 27]"
2,300,15,"[46, 15, 7, 27]"
3,500,5,"[45, 16, 10, 24]"
4,500,10,"[45, 16, 7, 27]"
5,500,15,"[46, 15, 7, 27]"
