,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[53, 8, 33, 1]"
1,1,50,0.75,"[45, 16, 32, 2]"
2,1,50,1.0,"[0, 61, 0, 34]"
3,1,100,0.5,"[53, 8, 33, 1]"
4,1,100,0.75,"[45, 16, 32, 2]"
5,1,100,1.0,"[0, 61, 0, 34]"
6,1,150,0.5,"[53, 8, 33, 1]"
7,1,150,0.75,"[45, 16, 32, 2]"
8,1,150,1.0,"[0, 61, 0, 34]"
9,0,50,0.5,"[53, 8, 25, 9]"
10,0,50,0.75,"[53, 8, 25, 9]"
11,0,50,1.0,"[53, 8, 25, 9]"
12,0,100,0.5,"[53, 8, 25, 9]"
13,0,100,0.75,"[53, 8, 25, 9]"
14,0,100,1.0,"[53, 8, 25, 9]"
15,0,150,0.5,"[53, 8, 25, 9]"
16,0,150,0.75,"[53, 8, 25, 9]"
17,0,150,1.0,"[53, 8, 25, 9]"
