,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[235, 70, 52, 120]"
1,0.0001,0.1,"[252, 53, 63, 109]"
2,0.0001,0.2,"[248, 57, 57, 115]"
3,0.001,0.0,"[238, 67, 44, 128]"
4,0.001,0.1,"[247, 58, 53, 119]"
5,0.001,0.2,"[248, 57, 52, 120]"
