,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[2, 59, 3, 31]"
1,1,50,0.75,"[61, 0, 32, 2]"
2,1,50,1.0,"[35, 26, 20, 14]"
3,1,100,0.5,"[2, 59, 3, 31]"
4,1,100,0.75,"[61, 0, 32, 2]"
5,1,100,1.0,"[35, 26, 20, 14]"
6,1,150,0.5,"[2, 59, 3, 31]"
7,1,150,0.75,"[61, 0, 32, 2]"
8,1,150,1.0,"[35, 26, 20, 14]"
9,0,50,0.5,"[58, 3, 27, 7]"
10,0,50,0.75,"[58, 3, 27, 7]"
11,0,50,1.0,"[58, 3, 27, 7]"
12,0,100,0.5,"[58, 3, 27, 7]"
13,0,100,0.75,"[58, 3, 27, 7]"
14,0,100,1.0,"[58, 3, 27, 7]"
15,0,150,0.5,"[58, 3, 27, 7]"
16,0,150,0.75,"[58, 3, 27, 7]"
17,0,150,1.0,"[58, 3, 27, 7]"
