,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[50, 12, 7, 27]"
1,300,10,"[50, 12, 7, 27]"
2,300,15,"[50, 12, 10, 24]"
3,500,5,"[50, 12, 7, 27]"
4,500,10,"[50, 12, 9, 25]"
5,500,15,"[50, 12, 11, 23]"
