,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[21, 41, 2, 32]","[15, 46, 5, 30]","[19, 42, 3, 32]","[28, 33, 1, 34]","[23, 38, 6, 28]","[15, 46, 1, 33]","[16, 45, 3, 31]","[17, 44, 4, 30]","[12, 49, 2, 32]","[14, 47, 5, 29]"
1,0,"[44, 18, 7, 27]","[50, 11, 12, 23]","[41, 20, 10, 25]","[52, 9, 3, 32]","[47, 14, 16, 18]","[46, 15, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[39, 22, 4, 30]","[46, 15, 11, 23]"
