,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[51, 10, 10, 24]"
1,300,10,"[52, 9, 9, 25]"
2,300,15,"[54, 7, 16, 18]"
3,500,5,"[51, 10, 10, 24]"
4,500,10,"[52, 9, 9, 25]"
5,500,15,"[53, 8, 16, 18]"
