,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[20, 42, 1, 33]","[8, 53, 5, 30]","[7, 54, 4, 31]","[15, 46, 2, 33]","[21, 40, 3, 31]","[13, 48, 3, 31]","[15, 46, 2, 32]","[16, 45, 3, 31]","[17, 44, 3, 31]","[9, 52, 3, 31]"
1,0,"[40, 22, 7, 27]","[35, 26, 8, 27]","[48, 13, 7, 28]","[42, 19, 8, 27]","[44, 17, 3, 31]","[42, 19, 7, 27]","[40, 21, 4, 30]","[39, 22, 9, 25]","[43, 18, 8, 26]","[34, 27, 6, 28]"
