,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[50, 11, 6, 28]"
1,0.0001,0.1,"[50, 11, 6, 28]"
2,0.0001,0.2,"[50, 11, 6, 28]"
3,0.001,0.0,"[50, 11, 12, 22]"
4,0.001,0.1,"[50, 11, 12, 22]"
5,0.001,0.2,"[50, 11, 12, 22]"
