,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[45, 16, 10, 25]"
1,linear,0.1,,,100,"[45, 16, 10, 25]"
2,linear,0.1,,,150,"[45, 16, 10, 25]"
3,rbf,0.1,1,,50,"[51, 10, 14, 21]"
4,rbf,0.1,1,,100,"[51, 10, 14, 21]"
5,rbf,0.1,1,,150,"[51, 10, 14, 21]"
6,poly,0.1,1,2,50,"[47, 14, 9, 26]"
7,poly,0.1,1,2,100,"[47, 14, 9, 26]"
8,poly,0.1,1,2,150,"[47, 14, 9, 26]"
9,poly,0.1,1,3,50,"[49, 12, 11, 24]"
10,poly,0.1,1,3,100,"[49, 12, 11, 24]"
11,poly,0.1,1,3,150,"[49, 12, 11, 24]"
12,rbf,0.1,10.0,,50,"[57, 4, 24, 11]"
13,rbf,0.1,10.0,,100,"[57, 4, 24, 11]"
14,rbf,0.1,10.0,,150,"[57, 4, 24, 11]"
15,poly,0.1,10.0,2,50,"[48, 13, 11, 24]"
16,poly,0.1,10.0,2,100,"[47, 14, 11, 24]"
17,poly,0.1,10.0,2,150,"[47, 14, 11, 24]"
18,poly,0.1,10.0,3,50,"[47, 14, 10, 25]"
19,poly,0.1,10.0,3,100,"[47, 14, 10, 25]"
20,poly,0.1,10.0,3,150,"[47, 14, 9, 26]"
21,linear,1.0,,,50,"[45, 16, 10, 25]"
22,linear,1.0,,,100,"[45, 16, 10, 25]"
23,linear,1.0,,,150,"[45, 16, 10, 25]"
24,rbf,1.0,1,,50,"[49, 12, 11, 24]"
25,rbf,1.0,1,,100,"[49, 12, 11, 24]"
26,rbf,1.0,1,,150,"[49, 12, 11, 24]"
27,poly,1.0,1,2,50,"[47, 14, 9, 26]"
28,poly,1.0,1,2,100,"[47, 14, 11, 24]"
29,poly,1.0,1,2,150,"[47, 14, 9, 26]"
30,poly,1.0,1,3,50,"[47, 14, 11, 24]"
31,poly,1.0,1,3,100,"[48, 13, 11, 24]"
32,poly,1.0,1,3,150,"[48, 13, 11, 24]"
33,rbf,1.0,10.0,,50,"[50, 11, 12, 23]"
34,rbf,1.0,10.0,,100,"[50, 11, 11, 24]"
35,rbf,1.0,10.0,,150,"[50, 11, 11, 24]"
36,poly,1.0,10.0,2,50,"[48, 13, 11, 24]"
37,poly,1.0,10.0,2,100,"[47, 14, 11, 24]"
38,poly,1.0,10.0,2,150,"[47, 14, 11, 24]"
39,poly,1.0,10.0,3,50,"[47, 14, 10, 25]"
40,poly,1.0,10.0,3,100,"[47, 14, 10, 25]"
41,poly,1.0,10.0,3,150,"[47, 14, 9, 26]"
42,linear,10.0,,,50,"[45, 16, 10, 25]"
43,linear,10.0,,,100,"[45, 16, 10, 25]"
44,linear,10.0,,,150,"[45, 16, 10, 25]"
45,rbf,10.0,1,,50,"[49, 12, 11, 24]"
46,rbf,10.0,1,,100,"[49, 12, 11, 24]"
47,rbf,10.0,1,,150,"[49, 12, 11, 24]"
48,poly,10.0,1,2,50,"[48, 13, 11, 24]"
49,poly,10.0,1,2,100,"[47, 14, 11, 24]"
50,poly,10.0,1,2,150,"[47, 14, 11, 24]"
51,poly,10.0,1,3,50,"[47, 14, 11, 24]"
52,poly,10.0,1,3,100,"[47, 14, 11, 24]"
53,poly,10.0,1,3,150,"[47, 14, 10, 25]"
54,rbf,10.0,10.0,,50,"[50, 11, 12, 23]"
55,rbf,10.0,10.0,,100,"[50, 11, 11, 24]"
56,rbf,10.0,10.0,,150,"[50, 11, 11, 24]"
57,poly,10.0,10.0,2,50,"[44, 17, 10, 25]"
58,poly,10.0,10.0,2,100,"[44, 17, 10, 25]"
59,poly,10.0,10.0,2,150,"[46, 15, 10, 25]"
60,poly,10.0,10.0,3,50,"[47, 14, 9, 26]"
61,poly,10.0,10.0,3,100,"[47, 14, 10, 25]"
62,poly,10.0,10.0,3,150,"[47, 14, 9, 26]"
63,linear,100.0,,,50,"[45, 16, 10, 25]"
64,linear,100.0,,,100,"[44, 17, 10, 25]"
65,linear,100.0,,,150,"[44, 17, 10, 25]"
66,rbf,100.0,1,,50,"[49, 12, 11, 24]"
67,rbf,100.0,1,,100,"[49, 12, 11, 24]"
68,rbf,100.0,1,,150,"[49, 12, 11, 24]"
69,poly,100.0,1,2,50,"[47, 14, 11, 24]"
70,poly,100.0,1,2,100,"[47, 14, 11, 24]"
71,poly,100.0,1,2,150,"[46, 15, 11, 24]"
72,poly,100.0,1,3,50,"[47, 14, 10, 25]"
73,poly,100.0,1,3,100,"[47, 14, 10, 25]"
74,poly,100.0,1,3,150,"[47, 14, 9, 26]"
75,rbf,100.0,10.0,,50,"[50, 11, 12, 23]"
76,rbf,100.0,10.0,,100,"[50, 11, 11, 24]"
77,rbf,100.0,10.0,,150,"[50, 11, 11, 24]"
78,poly,100.0,10.0,2,50,"[45, 16, 10, 25]"
79,poly,100.0,10.0,2,100,"[45, 16, 11, 24]"
80,poly,100.0,10.0,2,150,"[45, 16, 11, 24]"
81,poly,100.0,10.0,3,50,"[47, 14, 10, 25]"
82,poly,100.0,10.0,3,100,"[47, 14, 10, 25]"
83,poly,100.0,10.0,3,150,"[47, 14, 9, 26]"
84,linear,1000.0,,,50,"[41, 20, 8, 27]"
85,linear,1000.0,,,100,"[42, 19, 8, 27]"
86,linear,1000.0,,,150,"[42, 19, 8, 27]"
87,rbf,1000.0,1,,50,"[49, 12, 11, 24]"
88,rbf,1000.0,1,,100,"[49, 12, 11, 24]"
89,rbf,1000.0,1,,150,"[49, 12, 11, 24]"
90,poly,1000.0,1,2,50,"[44, 17, 12, 23]"
91,poly,1000.0,1,2,100,"[44, 17, 12, 23]"
92,poly,1000.0,1,2,150,"[44, 17, 12, 23]"
93,poly,1000.0,1,3,50,"[47, 14, 10, 25]"
94,poly,1000.0,1,3,100,"[47, 14, 10, 25]"
95,poly,1000.0,1,3,150,"[47, 14, 10, 25]"
