,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[49, 12, 12, 22]"
1,300,10,"[50, 11, 12, 22]"
2,300,15,"[51, 10, 16, 18]"
3,500,5,"[49, 12, 12, 22]"
4,500,10,"[49, 12, 12, 22]"
5,500,15,"[50, 11, 15, 19]"
