,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[51, 11, 7, 27]","[51, 10, 9, 26]","[42, 19, 9, 26]","[46, 15, 11, 24]","[46, 15, 10, 24]","[46, 15, 6, 28]","[46, 15, 12, 22]","[51, 10, 6, 28]","[45, 16, 16, 18]","[48, 13, 5, 29]"
1,300,10,"[50, 12, 9, 25]","[51, 10, 10, 25]","[40, 21, 9, 26]","[46, 15, 11, 24]","[45, 16, 9, 25]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 8, 26]","[45, 16, 17, 17]","[47, 14, 6, 28]"
2,300,15,"[50, 12, 9, 25]","[51, 10, 10, 25]","[40, 21, 9, 26]","[46, 15, 11, 24]","[45, 16, 9, 25]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 8, 26]","[45, 16, 17, 17]","[47, 14, 6, 28]"
3,500,5,"[51, 11, 7, 27]","[51, 10, 10, 25]","[42, 19, 9, 26]","[46, 15, 11, 24]","[46, 15, 10, 24]","[46, 15, 6, 28]","[46, 15, 12, 22]","[51, 10, 6, 28]","[47, 14, 16, 18]","[48, 13, 5, 29]"
4,500,10,"[47, 15, 9, 25]","[51, 10, 10, 25]","[40, 21, 9, 26]","[46, 15, 11, 24]","[45, 16, 9, 25]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 8, 26]","[45, 16, 17, 17]","[47, 14, 5, 29]"
5,500,15,"[47, 15, 9, 25]","[51, 10, 10, 25]","[40, 21, 9, 26]","[46, 15, 11, 24]","[45, 16, 9, 25]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 8, 26]","[45, 16, 17, 17]","[47, 14, 5, 29]"
