,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,,"[224, 81, 36, 136]"
1,1,100,,"[225, 80, 37, 135]"
2,1,150,,"[225, 80, 37, 135]"
3,0,50,,"[238, 67, 42, 130]"
4,0,100,,"[238, 67, 42, 130]"
5,0,150,,"[238, 67, 42, 130]"
