,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[48, 14, 7, 27]","[47, 14, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 9, 25]","[51, 10, 10, 24]","[49, 12, 9, 25]","[46, 15, 13, 21]","[51, 10, 10, 24]","[50, 11, 13, 21]"
1,300,10,"[47, 15, 12, 22]","[47, 14, 11, 24]","[45, 16, 9, 26]","[50, 11, 6, 29]","[46, 15, 9, 25]","[52, 9, 9, 25]","[49, 12, 10, 24]","[46, 15, 12, 22]","[51, 10, 10, 24]","[50, 11, 12, 22]"
2,300,15,"[48, 14, 13, 21]","[50, 11, 21, 14]","[47, 14, 16, 19]","[50, 11, 10, 25]","[50, 11, 12, 22]","[54, 7, 16, 18]","[51, 10, 15, 19]","[50, 11, 18, 16]","[50, 11, 14, 20]","[48, 13, 12, 22]"
3,500,5,"[47, 15, 7, 27]","[48, 13, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 9, 25]","[51, 10, 10, 24]","[49, 12, 10, 24]","[46, 15, 13, 21]","[51, 10, 10, 24]","[50, 11, 13, 21]"
4,500,10,"[47, 15, 11, 23]","[47, 14, 11, 24]","[45, 16, 10, 25]","[51, 10, 6, 29]","[46, 15, 9, 25]","[52, 9, 9, 25]","[49, 12, 10, 24]","[46, 15, 12, 22]","[50, 11, 10, 24]","[50, 11, 11, 23]"
5,500,15,"[48, 14, 13, 21]","[50, 11, 20, 15]","[47, 14, 16, 19]","[49, 12, 10, 25]","[49, 12, 12, 22]","[53, 8, 16, 18]","[51, 10, 15, 19]","[50, 11, 18, 16]","[50, 11, 14, 20]","[47, 14, 12, 22]"
