,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[43, 18, 8, 27]"
1,linear,0.1,,,100,"[43, 18, 8, 27]"
2,linear,0.1,,,150,"[43, 18, 8, 27]"
3,rbf,0.1,1,,50,"[44, 17, 9, 26]"
4,rbf,0.1,1,,100,"[45, 16, 9, 26]"
5,rbf,0.1,1,,150,"[45, 16, 9, 26]"
6,poly,0.1,1,2,50,"[44, 17, 8, 27]"
7,poly,0.1,1,2,100,"[43, 18, 8, 27]"
8,poly,0.1,1,2,150,"[43, 18, 8, 27]"
9,poly,0.1,1,3,50,"[43, 18, 8, 27]"
10,poly,0.1,1,3,100,"[43, 18, 8, 27]"
11,poly,0.1,1,3,150,"[43, 18, 8, 27]"
12,rbf,0.1,10.0,,50,"[49, 12, 18, 17]"
13,rbf,0.1,10.0,,100,"[49, 12, 18, 17]"
14,rbf,0.1,10.0,,150,"[51, 10, 18, 17]"
15,poly,0.1,10.0,2,50,"[42, 19, 8, 27]"
16,poly,0.1,10.0,2,100,"[42, 19, 8, 27]"
17,poly,0.1,10.0,2,150,"[42, 19, 8, 27]"
18,poly,0.1,10.0,3,50,"[42, 19, 8, 27]"
19,poly,0.1,10.0,3,100,"[41, 20, 8, 27]"
20,poly,0.1,10.0,3,150,"[42, 19, 8, 27]"
21,linear,1.0,,,50,"[43, 18, 8, 27]"
22,linear,1.0,,,100,"[43, 18, 8, 27]"
23,linear,1.0,,,150,"[43, 18, 8, 27]"
24,rbf,1.0,1,,50,"[43, 18, 8, 27]"
25,rbf,1.0,1,,100,"[43, 18, 8, 27]"
26,rbf,1.0,1,,150,"[43, 18, 8, 27]"
27,poly,1.0,1,2,50,"[43, 18, 8, 27]"
28,poly,1.0,1,2,100,"[43, 18, 8, 27]"
29,poly,1.0,1,2,150,"[43, 18, 8, 27]"
30,poly,1.0,1,3,50,"[42, 19, 8, 27]"
31,poly,1.0,1,3,100,"[42, 19, 8, 27]"
32,poly,1.0,1,3,150,"[42, 19, 8, 27]"
33,rbf,1.0,10.0,,50,"[42, 19, 8, 27]"
34,rbf,1.0,10.0,,100,"[42, 19, 8, 27]"
35,rbf,1.0,10.0,,150,"[42, 19, 8, 27]"
36,poly,1.0,10.0,2,50,"[42, 19, 8, 27]"
37,poly,1.0,10.0,2,100,"[42, 19, 8, 27]"
38,poly,1.0,10.0,2,150,"[41, 20, 8, 27]"
39,poly,1.0,10.0,3,50,"[42, 19, 8, 27]"
40,poly,1.0,10.0,3,100,"[41, 20, 8, 27]"
41,poly,1.0,10.0,3,150,"[42, 19, 8, 27]"
42,linear,10.0,,,50,"[43, 18, 8, 27]"
43,linear,10.0,,,100,"[43, 18, 8, 27]"
44,linear,10.0,,,150,"[43, 18, 8, 27]"
45,rbf,10.0,1,,50,"[42, 19, 8, 27]"
46,rbf,10.0,1,,100,"[42, 19, 8, 27]"
47,rbf,10.0,1,,150,"[42, 19, 8, 27]"
48,poly,10.0,1,2,50,"[42, 19, 8, 27]"
49,poly,10.0,1,2,100,"[42, 19, 8, 27]"
50,poly,10.0,1,2,150,"[42, 19, 8, 27]"
51,poly,10.0,1,3,50,"[42, 19, 8, 27]"
52,poly,10.0,1,3,100,"[41, 20, 8, 27]"
53,poly,10.0,1,3,150,"[42, 19, 8, 27]"
54,rbf,10.0,10.0,,50,"[42, 19, 8, 27]"
55,rbf,10.0,10.0,,100,"[42, 19, 8, 27]"
56,rbf,10.0,10.0,,150,"[42, 19, 8, 27]"
57,poly,10.0,10.0,2,50,"[42, 19, 8, 27]"
58,poly,10.0,10.0,2,100,"[41, 20, 8, 27]"
59,poly,10.0,10.0,2,150,"[41, 20, 8, 27]"
60,poly,10.0,10.0,3,50,"[42, 19, 8, 27]"
61,poly,10.0,10.0,3,100,"[41, 20, 8, 27]"
62,poly,10.0,10.0,3,150,"[42, 19, 8, 27]"
63,linear,100.0,,,50,"[43, 18, 8, 27]"
64,linear,100.0,,,100,"[43, 18, 8, 27]"
65,linear,100.0,,,150,"[43, 18, 8, 27]"
66,rbf,100.0,1,,50,"[42, 19, 8, 27]"
67,rbf,100.0,1,,100,"[42, 19, 8, 27]"
68,rbf,100.0,1,,150,"[42, 19, 8, 27]"
69,poly,100.0,1,2,50,"[42, 19, 8, 27]"
70,poly,100.0,1,2,100,"[42, 19, 8, 27]"
71,poly,100.0,1,2,150,"[42, 19, 8, 27]"
72,poly,100.0,1,3,50,"[42, 19, 8, 27]"
73,poly,100.0,1,3,100,"[41, 20, 8, 27]"
74,poly,100.0,1,3,150,"[42, 19, 8, 27]"
75,rbf,100.0,10.0,,50,"[42, 19, 8, 27]"
76,rbf,100.0,10.0,,100,"[42, 19, 8, 27]"
77,rbf,100.0,10.0,,150,"[42, 19, 8, 27]"
78,poly,100.0,10.0,2,50,"[41, 20, 8, 27]"
79,poly,100.0,10.0,2,100,"[41, 20, 8, 27]"
80,poly,100.0,10.0,2,150,"[41, 20, 8, 27]"
81,poly,100.0,10.0,3,50,"[42, 19, 8, 27]"
82,poly,100.0,10.0,3,100,"[41, 20, 8, 27]"
83,poly,100.0,10.0,3,150,"[42, 19, 8, 27]"
84,linear,1000.0,,,50,"[44, 17, 8, 27]"
85,linear,1000.0,,,100,"[44, 17, 8, 27]"
86,linear,1000.0,,,150,"[44, 17, 8, 27]"
87,rbf,1000.0,1,,50,"[42, 19, 8, 27]"
88,rbf,1000.0,1,,100,"[42, 19, 8, 27]"
89,rbf,1000.0,1,,150,"[42, 19, 8, 27]"
90,poly,1000.0,1,2,50,"[41, 20, 8, 27]"
91,poly,1000.0,1,2,100,"[41, 20, 8, 27]"
92,poly,1000.0,1,2,150,"[41, 20, 8, 27]"
