,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[46, 15, 10, 24]"
1,300,10,"[45, 16, 9, 25]"
2,300,15,"[45, 16, 9, 25]"
3,500,5,"[46, 15, 10, 24]"
4,500,10,"[45, 16, 9, 25]"
5,500,15,"[45, 16, 9, 25]"
