,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[53, 9, 8, 26]","[53, 8, 10, 25]","[44, 17, 10, 25]","[46, 15, 12, 23]","[45, 16, 10, 24]","[47, 14, 8, 26]","[49, 12, 12, 22]","[50, 11, 9, 25]","[44, 17, 15, 19]","[48, 13, 5, 29]"
1,300,10,"[52, 10, 9, 25]","[53, 8, 12, 23]","[44, 17, 11, 24]","[43, 18, 12, 23]","[45, 16, 7, 27]","[47, 14, 8, 26]","[50, 11, 12, 22]","[51, 10, 8, 26]","[47, 14, 14, 20]","[46, 15, 3, 31]"
2,300,15,"[52, 10, 13, 21]","[54, 7, 12, 23]","[46, 15, 16, 19]","[48, 13, 11, 24]","[46, 15, 7, 27]","[50, 11, 15, 19]","[51, 10, 16, 18]","[51, 10, 9, 25]","[44, 17, 18, 16]","[47, 14, 9, 25]"
3,500,5,"[52, 10, 9, 25]","[51, 10, 10, 25]","[44, 17, 10, 25]","[46, 15, 12, 23]","[45, 16, 10, 24]","[47, 14, 8, 26]","[49, 12, 12, 22]","[50, 11, 9, 25]","[44, 17, 15, 19]","[48, 13, 5, 29]"
4,500,10,"[52, 10, 9, 25]","[53, 8, 12, 23]","[44, 17, 11, 24]","[43, 18, 12, 23]","[45, 16, 7, 27]","[47, 14, 8, 26]","[49, 12, 12, 22]","[51, 10, 7, 27]","[47, 14, 14, 20]","[45, 16, 3, 31]"
5,500,15,"[52, 10, 13, 21]","[54, 7, 11, 24]","[46, 15, 16, 19]","[48, 13, 11, 24]","[46, 15, 7, 27]","[50, 11, 15, 19]","[50, 11, 15, 19]","[51, 10, 9, 25]","[43, 18, 18, 16]","[47, 14, 9, 25]"
