,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[48, 14, 8, 26]","[45, 16, 9, 26]","[54, 7, 9, 26]","[50, 11, 15, 20]","[50, 11, 6, 28]","[47, 14, 8, 26]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 8, 26]"
1,300,10,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 8, 27]","[50, 11, 16, 19]","[49, 12, 7, 27]","[43, 18, 7, 27]","[44, 17, 8, 26]","[43, 18, 8, 26]","[45, 16, 12, 22]","[43, 18, 8, 26]"
2,300,15,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 8, 27]","[50, 11, 16, 19]","[49, 12, 7, 27]","[43, 18, 7, 27]","[44, 17, 8, 26]","[41, 20, 8, 26]","[45, 16, 12, 22]","[43, 18, 8, 26]"
3,500,5,"[48, 14, 8, 26]","[46, 15, 9, 26]","[54, 7, 9, 26]","[50, 11, 14, 21]","[50, 11, 6, 28]","[47, 14, 8, 26]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[41, 20, 8, 26]"
4,500,10,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 8, 27]","[50, 11, 15, 20]","[46, 15, 7, 27]","[43, 18, 7, 27]","[45, 16, 8, 26]","[43, 18, 8, 26]","[45, 16, 12, 22]","[43, 18, 8, 26]"
5,500,15,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 8, 27]","[50, 11, 15, 20]","[46, 15, 7, 27]","[43, 18, 7, 27]","[45, 16, 8, 26]","[43, 18, 8, 26]","[45, 16, 12, 22]","[43, 18, 8, 26]"
