,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[56, 5, 20, 14]"
1,0.0001,0.1,"[50, 11, 12, 22]"
2,0.0001,0.2,"[50, 11, 12, 22]"
3,0.001,0.0,"[48, 13, 9, 25]"
4,0.001,0.1,"[48, 13, 10, 24]"
5,0.001,0.2,"[48, 13, 10, 24]"
