,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[47, 14, 10, 24]"
1,300,10,"[42, 19, 8, 26]"
2,300,15,"[42, 19, 8, 26]"
3,500,5,"[47, 14, 10, 24]"
4,500,10,"[42, 19, 8, 26]"
5,500,15,"[42, 19, 8, 26]"
