,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[42, 20, 6, 28]","[38, 23, 8, 27]","[16, 45, 1, 34]","[46, 15, 4, 31]","[21, 40, 4, 30]","[24, 37, 7, 27]","[39, 22, 5, 29]","[37, 24, 10, 24]","[17, 44, 4, 30]","[39, 22, 5, 29]"
1,0,"[46, 16, 7, 27]","[46, 15, 7, 28]","[44, 17, 10, 25]","[54, 7, 3, 32]","[44, 17, 5, 29]","[49, 12, 10, 24]","[44, 17, 7, 27]","[50, 11, 11, 23]","[39, 22, 10, 24]","[43, 18, 8, 26]"
