,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[45, 16, 10, 24]"
1,300,10,"[46, 15, 11, 23]"
2,300,15,"[48, 13, 12, 22]"
3,500,5,"[45, 16, 10, 24]"
4,500,10,"[46, 15, 11, 23]"
5,500,15,"[47, 14, 12, 22]"
