,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[9, 53, 4, 30]","[18, 43, 4, 31]","[13, 48, 2, 33]","[20, 41, 5, 30]","[14, 47, 2, 32]","[17, 44, 4, 30]","[16, 45, 3, 31]","[21, 40, 1, 33]","[15, 46, 5, 29]","[6, 55, 2, 32]"
1,0,"[45, 17, 6, 28]","[44, 17, 7, 28]","[36, 25, 8, 27]","[38, 23, 10, 25]","[40, 21, 5, 29]","[40, 21, 7, 27]","[41, 20, 8, 26]","[45, 16, 4, 30]","[38, 23, 11, 23]","[41, 20, 3, 31]"
