,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[14, 48, 2, 32]","[17, 44, 4, 31]","[15, 46, 4, 31]","[14, 47, 3, 32]","[13, 48, 2, 32]","[21, 40, 3, 31]","[13, 48, 3, 31]","[9, 52, 2, 32]","[15, 46, 3, 31]","[17, 44, 4, 30]"
1,0,"[44, 18, 7, 27]","[38, 23, 9, 26]","[38, 23, 7, 28]","[42, 19, 6, 29]","[37, 24, 2, 32]","[45, 16, 8, 26]","[45, 16, 6, 28]","[39, 22, 9, 25]","[38, 23, 6, 28]","[45, 16, 7, 27]"
