,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[37, 25, 5, 29]","[46, 15, 11, 24]","[37, 24, 8, 27]","[46, 15, 3, 32]","[43, 18, 11, 23]","[39, 22, 6, 28]","[44, 17, 6, 28]","[39, 22, 8, 26]","[39, 22, 3, 31]","[36, 25, 9, 25]"
1,0,"[43, 19, 8, 26]","[51, 10, 10, 25]","[43, 18, 8, 27]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[43, 18, 9, 25]","[46, 15, 9, 25]","[38, 23, 4, 30]","[45, 16, 10, 24]"
