,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[44, 17, 12, 23]"
1,linear,0.1,,,100,"[44, 17, 12, 23]"
2,linear,0.1,,,150,"[44, 17, 12, 23]"
3,rbf,0.1,1,,50,"[48, 13, 13, 22]"
4,rbf,0.1,1,,100,"[47, 14, 13, 22]"
5,rbf,0.1,1,,150,"[47, 14, 13, 22]"
6,poly,0.1,1,2,50,"[44, 17, 12, 23]"
7,poly,0.1,1,2,100,"[44, 17, 12, 23]"
8,poly,0.1,1,2,150,"[44, 17, 12, 23]"
9,poly,0.1,1,3,50,"[45, 16, 11, 24]"
10,poly,0.1,1,3,100,"[45, 16, 11, 24]"
11,poly,0.1,1,3,150,"[45, 16, 11, 24]"
12,rbf,0.1,10.0,,50,"[49, 12, 18, 17]"
13,rbf,0.1,10.0,,100,"[49, 12, 18, 17]"
14,rbf,0.1,10.0,,150,"[49, 12, 18, 17]"
15,poly,0.1,10.0,2,50,"[46, 15, 11, 24]"
16,poly,0.1,10.0,2,100,"[45, 16, 11, 24]"
17,poly,0.1,10.0,2,150,"[45, 16, 11, 24]"
18,poly,0.1,10.0,3,50,"[45, 16, 11, 24]"
19,poly,0.1,10.0,3,100,"[45, 16, 11, 24]"
20,poly,0.1,10.0,3,150,"[44, 17, 11, 24]"
21,linear,1.0,,,50,"[44, 17, 12, 23]"
22,linear,1.0,,,100,"[44, 17, 12, 23]"
23,linear,1.0,,,150,"[44, 17, 12, 23]"
24,rbf,1.0,1,,50,"[46, 15, 11, 24]"
25,rbf,1.0,1,,100,"[46, 15, 11, 24]"
26,rbf,1.0,1,,150,"[46, 15, 11, 24]"
27,poly,1.0,1,2,50,"[44, 17, 11, 24]"
28,poly,1.0,1,2,100,"[44, 17, 11, 24]"
29,poly,1.0,1,2,150,"[45, 16, 11, 24]"
30,poly,1.0,1,3,50,"[45, 16, 11, 24]"
31,poly,1.0,1,3,100,"[45, 16, 11, 24]"
32,poly,1.0,1,3,150,"[45, 16, 11, 24]"
33,rbf,1.0,10.0,,50,"[46, 15, 11, 24]"
