,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[49, 13, 5, 29]","[48, 13, 9, 26]","[46, 15, 12, 23]","[54, 7, 8, 27]","[48, 13, 6, 28]","[51, 10, 12, 22]","[45, 16, 10, 24]","[50, 11, 14, 20]","[39, 22, 11, 23]","[44, 17, 9, 25]"
1,0.001,"[49, 13, 5, 29]","[48, 13, 9, 26]","[46, 15, 12, 23]","[54, 7, 8, 27]","[48, 13, 6, 28]","[51, 10, 12, 22]","[45, 16, 10, 24]","[51, 10, 14, 20]","[39, 22, 12, 22]","[44, 17, 9, 25]"
2,0.01,"[48, 14, 8, 26]","[48, 13, 9, 26]","[44, 17, 11, 24]","[54, 7, 7, 28]","[46, 15, 5, 29]","[50, 11, 12, 22]","[44, 17, 8, 26]","[51, 10, 12, 22]","[39, 22, 11, 23]","[44, 17, 9, 25]"
