,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[58, 3, 23, 11]"
1,0.0001,0.1,"[53, 8, 18, 16]"
2,0.0001,0.2,"[61, 0, 34, 0]"
3,0.001,0.0,"[49, 12, 7, 27]"
4,0.001,0.1,"[49, 12, 7, 27]"
5,0.001,0.2,"[49, 12, 7, 27]"
