,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[50, 12, 7, 27]"
1,300,10,"[46, 16, 7, 27]"
2,300,15,"[46, 16, 7, 27]"
3,500,5,"[50, 12, 7, 27]"
4,500,10,"[43, 19, 7, 27]"
5,500,15,"[43, 19, 7, 27]"
