,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[49, 12, 11, 23]"
1,300,10,"[47, 14, 11, 23]"
2,300,15,"[48, 13, 14, 20]"
3,500,5,"[49, 12, 10, 24]"
4,500,10,"[47, 14, 11, 23]"
5,500,15,"[48, 13, 14, 20]"
