,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[41, 20, 8, 27]"
1,0.0001,0.1,"[41, 20, 8, 27]"
2,0.0001,0.2,"[41, 20, 8, 27]"
3,0.001,0.0,"[45, 16, 11, 24]"
4,0.001,0.1,"[46, 15, 10, 25]"
5,0.001,0.2,"[46, 15, 10, 25]"
