,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[56, 6, 25, 9]","[53, 8, 30, 5]","[56, 5, 27, 8]","[56, 5, 27, 8]","[58, 3, 27, 7]","[57, 4, 26, 8]","[56, 5, 27, 7]","[52, 9, 27, 7]","[58, 3, 26, 8]","[54, 7, 27, 7]"
1,0.001,"[56, 6, 25, 9]","[53, 8, 30, 5]","[57, 4, 28, 7]","[56, 5, 27, 8]","[58, 3, 27, 7]","[57, 4, 26, 8]","[56, 5, 27, 7]","[54, 7, 27, 7]","[59, 2, 26, 8]","[54, 7, 27, 7]"
2,0.01,"[58, 4, 30, 4]","[55, 6, 31, 4]","[59, 2, 31, 4]","[58, 3, 30, 5]","[60, 1, 32, 2]","[58, 3, 28, 6]","[59, 2, 31, 3]","[56, 5, 29, 5]","[59, 2, 29, 5]","[56, 5, 29, 5]"
