,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50.0,"[216, 90, 36, 135]","[241, 64, 58, 114]","[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[49, 12, 10, 24]","[44, 17, 13, 21]","[48, 13, 10, 24]","[47, 14, 9, 25]"
1,rbf,0.1,1.0,,50.0,"[251, 55, 71, 100]","[283, 22, 124, 48]","[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[49, 12, 11, 23]","[44, 17, 12, 22]","[48, 13, 8, 26]","[48, 13, 9, 25]"
2,poly,0.1,1.0,2.0,50.0,"[204, 102, 28, 143]","[237, 68, 46, 126]","[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[49, 12, 11, 23]","[44, 17, 12, 22]","[47, 14, 7, 27]","[48, 13, 9, 25]"
3,,,,,,,,"[44, 17, 9, 26]","[52, 9, 7, 28]","[48, 13, 11, 23]","[54, 7, 11, 23]","[50, 11, 13, 21]","[46, 15, 14, 20]","[50, 11, 17, 17]","[52, 9, 13, 21]"
4,,,,,,,,"[45, 16, 9, 26]","[52, 9, 7, 28]","[48, 13, 11, 23]","[54, 7, 11, 23]","[50, 11, 13, 21]","[46, 15, 16, 18]","[50, 11, 17, 17]","[52, 9, 13, 21]"
5,,,,,,,,"[45, 16, 9, 26]","[52, 9, 7, 28]","[48, 13, 11, 23]","[54, 7, 11, 23]","[50, 11, 13, 21]","[46, 15, 14, 20]","[50, 11, 17, 17]","[52, 9, 13, 21]"
6,,,,,,,,"[44, 17, 8, 27]","[49, 12, 6, 29]","[45, 16, 8, 26]","[51, 10, 8, 26]","[47, 14, 10, 24]","[45, 16, 13, 21]","[47, 14, 8, 26]","[46, 15, 10, 24]"
7,,,,,,,,"[43, 18, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[47, 14, 10, 24]","[45, 16, 13, 21]","[47, 14, 8, 26]","[46, 15, 10, 24]"
8,,,,,,,,"[43, 18, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[47, 14, 9, 25]","[45, 16, 13, 21]","[47, 14, 8, 26]","[47, 14, 10, 24]"
9,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[50, 11, 10, 24]","[48, 13, 9, 25]","[44, 17, 12, 22]","[44, 17, 7, 27]","[49, 12, 11, 23]"
10,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 10, 24]","[48, 13, 9, 25]","[43, 18, 11, 23]","[42, 19, 7, 27]","[48, 13, 9, 25]"
11,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 7, 27]","[50, 11, 10, 24]","[48, 13, 9, 25]","[44, 17, 12, 22]","[42, 19, 8, 26]","[49, 12, 11, 23]"
12,,,,,,,,"[49, 12, 18, 17]","[53, 8, 9, 26]","[52, 9, 15, 19]","[58, 3, 20, 14]","[52, 9, 16, 18]","[52, 9, 24, 10]","[50, 11, 18, 16]","[57, 4, 23, 11]"
13,,,,,,,,"[49, 12, 18, 17]","[53, 8, 9, 26]","[52, 9, 15, 19]","[58, 3, 20, 14]","[52, 9, 16, 18]","[52, 9, 24, 10]","[50, 11, 18, 16]","[57, 4, 23, 11]"
