,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[54, 7, 33, 2]"
1,1,50,0.75,"[53, 8, 35, 0]"
2,1,50,1.0,"[0, 61, 2, 33]"
3,1,100,0.5,"[54, 7, 33, 2]"
4,1,100,0.75,"[53, 8, 35, 0]"
5,1,100,1.0,"[0, 61, 2, 33]"
6,1,150,0.5,"[54, 7, 33, 2]"
7,1,150,0.75,"[53, 8, 35, 0]"
8,1,150,1.0,"[0, 61, 2, 33]"
9,0,50,0.5,"[55, 6, 30, 5]"
10,0,50,0.75,"[54, 7, 29, 6]"
11,0,50,1.0,"[54, 7, 29, 6]"
12,0,100,0.5,"[54, 7, 29, 6]"
13,0,100,0.75,"[54, 7, 29, 6]"
14,0,100,1.0,"[54, 7, 29, 6]"
15,0,150,0.5,"[54, 7, 29, 6]"
16,0,150,0.75,"[54, 7, 29, 6]"
17,0,150,1.0,"[54, 7, 29, 6]"
