,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[54, 7, 8, 27]"
1,linear,0.1,,,100,"[54, 7, 9, 26]"
2,linear,0.1,,,150,"[54, 7, 8, 27]"
3,rbf,0.1,1,,50,"[54, 7, 9, 26]"
4,rbf,0.1,1,,100,"[54, 7, 9, 26]"
5,rbf,0.1,1,,150,"[54, 7, 9, 26]"
6,poly,0.1,1,2,50,"[53, 8, 9, 26]"
7,poly,0.1,1,2,100,"[52, 9, 9, 26]"
8,poly,0.1,1,2,150,"[52, 9, 9, 26]"
9,poly,0.1,1,3,50,"[52, 9, 9, 26]"
10,poly,0.1,1,3,100,"[52, 9, 9, 26]"
11,poly,0.1,1,3,150,"[51, 10, 9, 26]"
12,rbf,0.1,10.0,,50,"[57, 4, 13, 22]"
13,rbf,0.1,10.0,,100,"[57, 4, 13, 22]"
14,rbf,0.1,10.0,,150,"[57, 4, 13, 22]"
15,poly,0.1,10.0,2,50,"[52, 9, 7, 28]"
16,poly,0.1,10.0,2,100,"[50, 11, 7, 28]"
17,poly,0.1,10.0,2,150,"[51, 10, 7, 28]"
18,poly,0.1,10.0,3,50,"[48, 13, 9, 26]"
19,poly,0.1,10.0,3,100,"[48, 13, 9, 26]"
20,poly,0.1,10.0,3,150,"[48, 13, 9, 26]"
21,linear,1.0,,,50,"[54, 7, 8, 27]"
22,linear,1.0,,,100,"[54, 7, 8, 27]"
23,linear,1.0,,,150,"[54, 7, 8, 27]"
24,rbf,1.0,1,,50,"[53, 8, 9, 26]"
25,rbf,1.0,1,,100,"[53, 8, 9, 26]"
26,rbf,1.0,1,,150,"[52, 9, 9, 26]"
27,poly,1.0,1,2,50,"[53, 8, 7, 28]"
28,poly,1.0,1,2,100,"[53, 8, 8, 27]"
29,poly,1.0,1,2,150,"[53, 8, 7, 28]"
30,poly,1.0,1,3,50,"[48, 13, 9, 26]"
31,poly,1.0,1,3,100,"[48, 13, 9, 26]"
32,poly,1.0,1,3,150,"[48, 13, 9, 26]"
33,rbf,1.0,10.0,,50,"[51, 10, 9, 26]"
34,rbf,1.0,10.0,,100,"[51, 10, 9, 26]"
35,rbf,1.0,10.0,,150,"[51, 10, 9, 26]"
36,poly,1.0,10.0,2,50,"[51, 10, 7, 28]"
37,poly,1.0,10.0,2,100,"[51, 10, 7, 28]"
38,poly,1.0,10.0,2,150,"[50, 11, 7, 28]"
39,poly,1.0,10.0,3,50,"[48, 13, 9, 26]"
40,poly,1.0,10.0,3,100,"[48, 13, 9, 26]"
41,poly,1.0,10.0,3,150,"[48, 13, 9, 26]"
42,linear,10.0,,,50,"[54, 7, 8, 27]"
43,linear,10.0,,,100,"[54, 7, 8, 27]"
44,linear,10.0,,,150,"[54, 7, 8, 27]"
45,rbf,10.0,1,,50,"[51, 10, 9, 26]"
46,rbf,10.0,1,,100,"[51, 10, 9, 26]"
47,rbf,10.0,1,,150,"[51, 10, 9, 26]"
48,poly,10.0,1,2,50,"[52, 9, 7, 28]"
49,poly,10.0,1,2,100,"[50, 11, 7, 28]"
50,poly,10.0,1,2,150,"[50, 11, 7, 28]"
51,poly,10.0,1,3,50,"[48, 13, 9, 26]"
52,poly,10.0,1,3,100,"[48, 13, 9, 26]"
53,poly,10.0,1,3,150,"[48, 13, 9, 26]"
54,rbf,10.0,10.0,,50,"[51, 10, 9, 26]"
55,rbf,10.0,10.0,,100,"[51, 10, 9, 26]"
56,rbf,10.0,10.0,,150,"[51, 10, 9, 26]"
57,poly,10.0,10.0,2,50,"[51, 10, 8, 27]"
58,poly,10.0,10.0,2,100,"[51, 10, 7, 28]"
59,poly,10.0,10.0,2,150,"[51, 10, 7, 28]"
60,poly,10.0,10.0,3,50,"[48, 13, 9, 26]"
61,poly,10.0,10.0,3,100,"[48, 13, 9, 26]"
62,poly,10.0,10.0,3,150,"[48, 13, 9, 26]"
63,linear,100.0,,,50,"[54, 7, 8, 27]"
64,linear,100.0,,,100,"[54, 7, 8, 27]"
65,linear,100.0,,,150,"[54, 7, 8, 27]"
66,rbf,100.0,1,,50,"[51, 10, 9, 26]"
67,rbf,100.0,1,,100,"[51, 10, 9, 26]"
68,rbf,100.0,1,,150,"[51, 10, 9, 26]"
69,poly,100.0,1,2,50,"[52, 9, 7, 28]"
70,poly,100.0,1,2,100,"[50, 11, 7, 28]"
71,poly,100.0,1,2,150,"[50, 11, 7, 28]"
72,poly,100.0,1,3,50,"[48, 13, 9, 26]"
73,poly,100.0,1,3,100,"[48, 13, 9, 26]"
74,poly,100.0,1,3,150,"[48, 13, 9, 26]"
75,rbf,100.0,10.0,,50,"[51, 10, 9, 26]"
76,rbf,100.0,10.0,,100,"[51, 10, 9, 26]"
77,rbf,100.0,10.0,,150,"[51, 10, 9, 26]"
78,poly,100.0,10.0,2,50,"[51, 10, 7, 28]"
79,poly,100.0,10.0,2,100,"[51, 10, 7, 28]"
80,poly,100.0,10.0,2,150,"[51, 10, 7, 28]"
81,poly,100.0,10.0,3,50,"[48, 13, 9, 26]"
82,poly,100.0,10.0,3,100,"[48, 13, 9, 26]"
83,poly,100.0,10.0,3,150,"[48, 13, 9, 26]"
84,linear,1000.0,,,50,"[50, 11, 8, 27]"
85,linear,1000.0,,,100,"[54, 7, 8, 27]"
86,linear,1000.0,,,150,"[50, 11, 8, 27]"
87,rbf,1000.0,1,,50,"[51, 10, 9, 26]"
88,rbf,1000.0,1,,100,"[51, 10, 9, 26]"
89,rbf,1000.0,1,,150,"[51, 10, 9, 26]"
90,poly,1000.0,1,2,50,"[51, 10, 7, 28]"
91,poly,1000.0,1,2,100,"[51, 10, 7, 28]"
92,poly,1000.0,1,2,150,"[50, 11, 7, 28]"
93,poly,1000.0,1,3,50,"[48, 13, 9, 26]"
94,poly,1000.0,1,3,100,"[48, 13, 9, 26]"
95,poly,1000.0,1,3,150,"[48, 13, 9, 26]"
96,rbf,1000.0,10.0,,50,"[51, 10, 9, 26]"
97,rbf,1000.0,10.0,,100,"[51, 10, 9, 26]"
98,rbf,1000.0,10.0,,150,"[51, 10, 9, 26]"
99,poly,1000.0,10.0,2,50,"[51, 10, 7, 28]"
100,poly,1000.0,10.0,2,100,"[51, 10, 7, 28]"
101,poly,1000.0,10.0,2,150,"[51, 10, 7, 28]"
102,poly,1000.0,10.0,3,50,"[48, 13, 9, 26]"
103,poly,1000.0,10.0,3,100,"[48, 13, 9, 26]"
104,poly,1000.0,10.0,3,150,"[48, 13, 9, 26]"
