,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[45, 17, 9, 25]","[52, 9, 16, 19]","[45, 16, 10, 25]","[51, 10, 5, 30]","[48, 13, 16, 18]","[49, 12, 8, 26]","[45, 16, 9, 25]","[45, 16, 10, 24]","[42, 19, 6, 28]","[47, 14, 9, 25]"
1,0.001,"[44, 18, 9, 25]","[52, 9, 16, 19]","[45, 16, 10, 25]","[51, 10, 5, 30]","[48, 13, 16, 18]","[49, 12, 8, 26]","[45, 16, 8, 26]","[45, 16, 10, 24]","[42, 19, 6, 28]","[47, 14, 9, 25]"
2,0.01,"[42, 20, 7, 27]","[52, 9, 15, 20]","[45, 16, 9, 26]","[51, 10, 4, 31]","[48, 13, 15, 19]","[49, 12, 6, 28]","[43, 18, 9, 25]","[45, 16, 11, 23]","[40, 21, 6, 28]","[47, 14, 10, 24]"
