,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[48, 13, 5, 29]"
1,0.0001,0.1,"[48, 13, 5, 29]"
2,0.0001,0.2,"[48, 13, 6, 28]"
3,0.001,0.0,"[48, 13, 9, 25]"
4,0.001,0.1,"[48, 13, 9, 25]"
5,0.001,0.2,"[48, 13, 9, 25]"
