,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[52, 9, 14, 21]"
1,300,10,"[51, 10, 14, 21]"
2,300,15,"[52, 9, 15, 20]"
3,500,5,"[52, 9, 14, 21]"
4,500,10,"[51, 10, 14, 21]"
5,500,15,"[52, 9, 15, 20]"
