,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[44, 17, 8, 27]"
1,linear,0.1,,,100,"[43, 18, 8, 27]"
2,linear,0.1,,,150,"[43, 18, 8, 27]"
3,rbf,0.1,1,,50,"[47, 14, 15, 20]"
4,rbf,0.1,1,,100,"[48, 13, 18, 17]"
5,rbf,0.1,1,,150,"[47, 14, 17, 18]"
6,poly,0.1,1,2,50,"[43, 18, 10, 25]"
7,poly,0.1,1,2,100,"[43, 18, 10, 25]"
8,poly,0.1,1,2,150,"[44, 17, 10, 25]"
9,poly,0.1,1,3,50,"[45, 16, 10, 25]"
10,poly,0.1,1,3,100,"[45, 16, 10, 25]"
11,poly,0.1,1,3,150,"[45, 16, 10, 25]"
12,rbf,0.1,10.0,,50,"[54, 7, 24, 11]"
13,rbf,0.1,10.0,,100,"[54, 7, 24, 11]"
14,rbf,0.1,10.0,,150,"[54, 7, 24, 11]"
15,poly,0.1,10.0,2,50,"[45, 16, 12, 23]"
16,poly,0.1,10.0,2,100,"[44, 17, 12, 23]"
17,poly,0.1,10.0,2,150,"[44, 17, 12, 23]"
18,poly,0.1,10.0,3,50,"[44, 17, 12, 23]"
19,poly,0.1,10.0,3,100,"[44, 17, 12, 23]"
20,poly,0.1,10.0,3,150,"[45, 16, 12, 23]"
21,linear,1.0,,,50,"[43, 18, 8, 27]"
22,linear,1.0,,,100,"[44, 17, 9, 26]"
23,linear,1.0,,,150,"[43, 18, 8, 27]"
24,rbf,1.0,1,,50,"[45, 16, 12, 23]"
25,rbf,1.0,1,,100,"[45, 16, 12, 23]"
26,rbf,1.0,1,,150,"[45, 16, 12, 23]"
27,poly,1.0,1,2,50,"[45, 16, 11, 24]"
28,poly,1.0,1,2,100,"[45, 16, 11, 24]"
29,poly,1.0,1,2,150,"[45, 16, 11, 24]"
30,poly,1.0,1,3,50,"[44, 17, 11, 24]"
31,poly,1.0,1,3,100,"[43, 18, 12, 23]"
32,poly,1.0,1,3,150,"[42, 19, 12, 23]"
33,rbf,1.0,10.0,,50,"[45, 16, 12, 23]"
34,rbf,1.0,10.0,,100,"[45, 16, 12, 23]"
35,rbf,1.0,10.0,,150,"[45, 16, 12, 23]"
36,poly,1.0,10.0,2,50,"[44, 17, 11, 24]"
37,poly,1.0,10.0,2,100,"[45, 16, 12, 23]"
38,poly,1.0,10.0,2,150,"[44, 17, 12, 23]"
39,poly,1.0,10.0,3,50,"[44, 17, 12, 23]"
40,poly,1.0,10.0,3,100,"[44, 17, 12, 23]"
41,poly,1.0,10.0,3,150,"[44, 17, 12, 23]"
42,linear,10.0,,,50,"[43, 18, 8, 27]"
43,linear,10.0,,,100,"[44, 17, 9, 26]"
44,linear,10.0,,,150,"[43, 18, 8, 27]"
45,rbf,10.0,1,,50,"[44, 17, 12, 23]"
46,rbf,10.0,1,,100,"[45, 16, 12, 23]"
47,rbf,10.0,1,,150,"[45, 16, 12, 23]"
48,poly,10.0,1,2,50,"[44, 17, 12, 23]"
49,poly,10.0,1,2,100,"[45, 16, 12, 23]"
50,poly,10.0,1,2,150,"[44, 17, 12, 23]"
51,poly,10.0,1,3,50,"[44, 17, 12, 23]"
52,poly,10.0,1,3,100,"[44, 17, 12, 23]"
53,poly,10.0,1,3,150,"[45, 16, 12, 23]"
54,rbf,10.0,10.0,,50,"[45, 16, 12, 23]"
55,rbf,10.0,10.0,,100,"[45, 16, 12, 23]"
56,rbf,10.0,10.0,,150,"[45, 16, 12, 23]"
57,poly,10.0,10.0,2,50,"[42, 19, 12, 23]"
58,poly,10.0,10.0,2,100,"[41, 20, 11, 24]"
59,poly,10.0,10.0,2,150,"[41, 20, 11, 24]"
60,poly,10.0,10.0,3,50,"[44, 17, 12, 23]"
61,poly,10.0,10.0,3,100,"[45, 16, 12, 23]"
62,poly,10.0,10.0,3,150,"[44, 17, 12, 23]"
63,linear,100.0,,,50,"[43, 18, 8, 27]"
64,linear,100.0,,,100,"[44, 17, 9, 26]"
65,linear,100.0,,,150,"[43, 18, 8, 27]"
66,rbf,100.0,1,,50,"[44, 17, 12, 23]"
