,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[59, 2, 27, 7]"
1,0.0001,0.1,"[50, 11, 18, 16]"
2,0.0001,0.2,"[50, 11, 18, 16]"
3,0.001,0.0,"[48, 13, 11, 23]"
4,0.001,0.1,"[48, 13, 8, 26]"
5,0.001,0.2,"[48, 13, 8, 26]"
