,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[48, 13, 6, 28]"
1,linear,0.1,,,100,"[48, 13, 6, 28]"
2,linear,0.1,,,150,"[48, 13, 6, 28]"
3,rbf,0.1,1,,50,"[48, 13, 6, 28]"
4,rbf,0.1,1,,100,"[48, 13, 6, 28]"
5,rbf,0.1,1,,150,"[48, 13, 6, 28]"
6,poly,0.1,1,2,50,"[48, 13, 5, 29]"
7,poly,0.1,1,2,100,"[48, 13, 5, 29]"
8,poly,0.1,1,2,150,"[48, 13, 5, 29]"
9,poly,0.1,1,3,50,"[48, 13, 5, 29]"
10,poly,0.1,1,3,100,"[48, 13, 5, 29]"
11,poly,0.1,1,3,150,"[48, 13, 5, 29]"
12,rbf,0.1,10.0,,50,"[49, 12, 13, 21]"
13,rbf,0.1,10.0,,100,"[49, 12, 13, 21]"
14,rbf,0.1,10.0,,150,"[49, 12, 13, 21]"
15,poly,0.1,10.0,2,50,"[48, 13, 5, 29]"
16,poly,0.1,10.0,2,100,"[48, 13, 5, 29]"
17,poly,0.1,10.0,2,150,"[48, 13, 5, 29]"
18,poly,0.1,10.0,3,50,"[47, 14, 5, 29]"
19,poly,0.1,10.0,3,100,"[47, 14, 5, 29]"
20,poly,0.1,10.0,3,150,"[47, 14, 6, 28]"
21,linear,1.0,,,50,"[48, 13, 6, 28]"
22,linear,1.0,,,100,"[48, 13, 6, 28]"
23,linear,1.0,,,150,"[48, 13, 6, 28]"
24,rbf,1.0,1,,50,"[48, 13, 5, 29]"
25,rbf,1.0,1,,100,"[48, 13, 5, 29]"
26,rbf,1.0,1,,150,"[48, 13, 5, 29]"
27,poly,1.0,1,2,50,"[48, 13, 5, 29]"
28,poly,1.0,1,2,100,"[48, 13, 5, 29]"
29,poly,1.0,1,2,150,"[48, 13, 5, 29]"
30,poly,1.0,1,3,50,"[47, 14, 5, 29]"
31,poly,1.0,1,3,100,"[47, 14, 5, 29]"
32,poly,1.0,1,3,150,"[47, 14, 5, 29]"
33,rbf,1.0,10.0,,50,"[47, 14, 6, 28]"
34,rbf,1.0,10.0,,100,"[47, 14, 6, 28]"
35,rbf,1.0,10.0,,150,"[47, 14, 6, 28]"
36,poly,1.0,10.0,2,50,"[48, 13, 5, 29]"
37,poly,1.0,10.0,2,100,"[48, 13, 5, 29]"
38,poly,1.0,10.0,2,150,"[47, 14, 5, 29]"
39,poly,1.0,10.0,3,50,"[47, 14, 5, 29]"
40,poly,1.0,10.0,3,100,"[47, 14, 5, 29]"
41,poly,1.0,10.0,3,150,"[47, 14, 6, 28]"
42,linear,10.0,,,50,"[48, 13, 6, 28]"
43,linear,10.0,,,100,"[48, 13, 6, 28]"
