,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[51, 11, 10, 24]"
1,0.0001,0.1,"[43, 19, 5, 29]"
2,0.0001,0.2,"[43, 19, 5, 29]"
3,0.001,0.0,"[45, 17, 7, 27]"
4,0.001,0.1,"[45, 17, 7, 27]"
5,0.001,0.2,"[45, 17, 7, 27]"
