,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[48, 13, 16, 19]"
1,0.0001,0.1,"[46, 15, 13, 22]"
2,0.0001,0.2,"[49, 12, 13, 22]"
3,0.001,0.0,"[45, 16, 10, 25]"
4,0.001,0.1,"[46, 15, 10, 25]"
5,0.001,0.2,"[46, 15, 10, 25]"
