,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[45, 16, 11, 24]"
1,300,10,"[43, 18, 12, 23]"
2,300,15,"[43, 18, 12, 23]"
3,500,5,"[45, 16, 11, 24]"
4,500,10,"[42, 19, 12, 23]"
5,500,15,"[42, 19, 12, 23]"
