,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[59, 2, 34, 0]"
1,1,50,0.75,"[49, 12, 31, 3]"
2,1,50,1.0,"[44, 17, 24, 10]"
3,1,100,0.5,"[59, 2, 34, 0]"
4,1,100,0.75,"[49, 12, 31, 3]"
5,1,100,1.0,"[44, 17, 24, 10]"
6,1,150,0.5,"[59, 2, 34, 0]"
7,1,150,0.75,"[49, 12, 31, 3]"
8,1,150,1.0,"[44, 17, 24, 10]"
9,0,50,0.5,"[54, 7, 25, 9]"
10,0,50,0.75,"[53, 8, 23, 11]"
11,0,50,1.0,"[53, 8, 23, 11]"
12,0,100,0.5,"[53, 8, 23, 11]"
13,0,100,0.75,"[53, 8, 23, 11]"
14,0,100,1.0,"[53, 8, 23, 11]"
15,0,150,0.5,"[53, 8, 23, 11]"
16,0,150,0.75,"[53, 8, 23, 11]"
17,0,150,1.0,"[53, 8, 23, 11]"
