,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[50, 12, 7, 27]","[47, 14, 9, 26]","[48, 13, 15, 20]","[54, 7, 6, 29]","[49, 12, 6, 28]","[50, 11, 12, 22]","[44, 17, 7, 27]","[52, 9, 13, 21]","[42, 19, 13, 21]","[45, 16, 9, 25]"
1,300,10,"[50, 12, 7, 27]","[47, 14, 11, 24]","[47, 14, 13, 22]","[53, 8, 9, 26]","[47, 14, 9, 25]","[51, 10, 11, 23]","[44, 17, 8, 26]","[52, 9, 12, 22]","[41, 20, 14, 20]","[45, 16, 9, 25]"
2,300,15,"[50, 12, 10, 24]","[46, 15, 16, 19]","[51, 10, 16, 19]","[56, 5, 15, 20]","[48, 13, 13, 21]","[47, 14, 14, 20]","[46, 15, 10, 24]","[56, 5, 17, 17]","[39, 22, 17, 17]","[47, 14, 12, 22]"
3,500,5,"[50, 12, 7, 27]","[47, 14, 9, 26]","[47, 14, 15, 20]","[54, 7, 6, 29]","[49, 12, 6, 28]","[50, 11, 12, 22]","[44, 17, 7, 27]","[52, 9, 13, 21]","[42, 19, 13, 21]","[45, 16, 9, 25]"
4,500,10,"[50, 12, 9, 25]","[47, 14, 11, 24]","[47, 14, 13, 22]","[54, 7, 9, 26]","[47, 14, 9, 25]","[51, 10, 11, 23]","[44, 17, 8, 26]","[52, 9, 13, 21]","[41, 20, 12, 22]","[45, 16, 9, 25]"
5,500,15,"[50, 12, 11, 23]","[46, 15, 16, 19]","[51, 10, 16, 19]","[57, 4, 15, 20]","[48, 13, 13, 21]","[47, 14, 15, 19]","[46, 15, 10, 24]","[56, 5, 17, 17]","[39, 22, 18, 16]","[47, 14, 12, 22]"
