,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[46, 16, 7, 27]"
1,0.0001,0.1,"[47, 15, 8, 26]"
2,0.0001,0.2,"[53, 9, 23, 11]"
3,0.001,0.0,"[46, 16, 8, 26]"
4,0.001,0.1,"[46, 16, 8, 26]"
5,0.001,0.2,"[46, 16, 8, 26]"
