,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[54, 7, 15, 20]"
1,0.0001,0.1,"[54, 7, 15, 20]"
2,0.0001,0.2,"[54, 7, 15, 20]"
3,0.001,0.0,"[54, 7, 6, 29]"
4,0.001,0.1,"[54, 7, 6, 29]"
5,0.001,0.2,"[54, 7, 6, 29]"
