,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[44, 17, 9, 25]"
1,300,10,"[43, 18, 8, 26]"
2,300,15,"[41, 20, 8, 26]"
3,500,5,"[44, 17, 9, 25]"
4,500,10,"[43, 18, 8, 26]"
5,500,15,"[43, 18, 8, 26]"
