,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[48, 13, 13, 21]"
1,0.0001,0.1,"[48, 13, 14, 20]"
2,0.0001,0.2,"[47, 14, 12, 22]"
3,0.001,0.0,"[48, 13, 15, 19]"
4,0.001,0.1,"[47, 14, 15, 19]"
5,0.001,0.2,"[47, 14, 15, 19]"
