,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[52, 9, 19, 15]"
1,0.0001,0.1,"[52, 9, 22, 12]"
2,0.0001,0.2,"[52, 9, 22, 12]"
3,0.001,0.0,"[51, 10, 19, 15]"
4,0.001,0.1,"[51, 10, 18, 16]"
5,0.001,0.2,"[51, 10, 18, 16]"
