,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[53, 8, 6, 29]"
1,300,10,"[52, 9, 8, 27]"
2,300,15,"[52, 9, 8, 27]"
3,500,5,"[53, 8, 6, 29]"
4,500,10,"[52, 9, 10, 25]"
5,500,15,"[52, 9, 10, 25]"
