,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[45, 16, 6, 28]"
1,linear,0.1,,,100,"[45, 16, 6, 28]"
2,linear,0.1,,,150,"[45, 16, 6, 28]"
3,rbf,0.1,1,,50,"[46, 15, 9, 25]"
4,rbf,0.1,1,,100,"[46, 15, 9, 25]"
5,rbf,0.1,1,,150,"[46, 15, 9, 25]"
6,poly,0.1,1,2,50,"[45, 16, 6, 28]"
7,poly,0.1,1,2,100,"[45, 16, 6, 28]"
8,poly,0.1,1,2,150,"[45, 16, 6, 28]"
9,poly,0.1,1,3,50,"[44, 17, 7, 27]"
10,poly,0.1,1,3,100,"[44, 17, 7, 27]"
11,poly,0.1,1,3,150,"[44, 17, 7, 27]"
12,rbf,0.1,10.0,,50,"[50, 11, 15, 19]"
13,rbf,0.1,10.0,,100,"[50, 11, 15, 19]"
14,rbf,0.1,10.0,,150,"[50, 11, 15, 19]"
15,poly,0.1,10.0,2,50,"[45, 16, 7, 27]"
16,poly,0.1,10.0,2,100,"[45, 16, 7, 27]"
17,poly,0.1,10.0,2,150,"[45, 16, 7, 27]"
18,poly,0.1,10.0,3,50,"[45, 16, 7, 27]"
19,poly,0.1,10.0,3,100,"[45, 16, 7, 27]"
20,poly,0.1,10.0,3,150,"[45, 16, 7, 27]"
21,linear,1.0,,,50,"[45, 16, 6, 28]"
22,linear,1.0,,,100,"[45, 16, 6, 28]"
23,linear,1.0,,,150,"[45, 16, 6, 28]"
24,rbf,1.0,1,,50,"[45, 16, 7, 27]"
25,rbf,1.0,1,,100,"[45, 16, 7, 27]"
26,rbf,1.0,1,,150,"[45, 16, 7, 27]"
27,poly,1.0,1,2,50,"[46, 15, 9, 25]"
28,poly,1.0,1,2,100,"[45, 16, 7, 27]"
29,poly,1.0,1,2,150,"[45, 16, 7, 27]"
30,poly,1.0,1,3,50,"[45, 16, 7, 27]"
31,poly,1.0,1,3,100,"[45, 16, 7, 27]"
32,poly,1.0,1,3,150,"[45, 16, 7, 27]"
33,rbf,1.0,10.0,,50,"[45, 16, 7, 27]"
34,rbf,1.0,10.0,,100,"[45, 16, 8, 26]"
35,rbf,1.0,10.0,,150,"[45, 16, 8, 26]"
36,poly,1.0,10.0,2,50,"[44, 17, 7, 27]"
37,poly,1.0,10.0,2,100,"[44, 17, 7, 27]"
38,poly,1.0,10.0,2,150,"[44, 17, 7, 27]"
39,poly,1.0,10.0,3,50,"[45, 16, 7, 27]"
40,poly,1.0,10.0,3,100,"[45, 16, 7, 27]"
41,poly,1.0,10.0,3,150,"[45, 16, 7, 27]"
42,linear,10.0,,,50,"[45, 16, 6, 28]"
43,linear,10.0,,,100,"[45, 16, 6, 28]"
44,linear,10.0,,,150,"[45, 16, 6, 28]"
45,rbf,10.0,1,,50,"[45, 16, 7, 27]"
46,rbf,10.0,1,,100,"[45, 16, 7, 27]"
47,rbf,10.0,1,,150,"[45, 16, 7, 27]"
48,poly,10.0,1,2,50,"[45, 16, 7, 27]"
49,poly,10.0,1,2,100,"[45, 16, 7, 27]"
50,poly,10.0,1,2,150,"[45, 16, 7, 27]"
51,poly,10.0,1,3,50,"[45, 16, 7, 27]"
52,poly,10.0,1,3,100,"[45, 16, 7, 27]"
53,poly,10.0,1,3,150,"[45, 16, 7, 27]"
54,rbf,10.0,10.0,,50,"[45, 16, 7, 27]"
55,rbf,10.0,10.0,,100,"[45, 16, 8, 26]"
56,rbf,10.0,10.0,,150,"[45, 16, 8, 26]"
57,poly,10.0,10.0,2,50,"[44, 17, 7, 27]"
58,poly,10.0,10.0,2,100,"[44, 17, 7, 27]"
59,poly,10.0,10.0,2,150,"[44, 17, 7, 27]"
60,poly,10.0,10.0,3,50,"[45, 16, 7, 27]"
61,poly,10.0,10.0,3,100,"[45, 16, 7, 27]"
62,poly,10.0,10.0,3,150,"[45, 16, 7, 27]"
63,linear,100.0,,,50,"[45, 16, 6, 28]"
64,linear,100.0,,,100,"[45, 16, 6, 28]"
65,linear,100.0,,,150,"[45, 16, 6, 28]"
66,rbf,100.0,1,,50,"[45, 16, 7, 27]"
67,rbf,100.0,1,,100,"[45, 16, 7, 27]"
68,rbf,100.0,1,,150,"[45, 16, 7, 27]"
69,poly,100.0,1,2,50,"[44, 17, 9, 25]"
70,poly,100.0,1,2,100,"[44, 17, 9, 25]"
71,poly,100.0,1,2,150,"[44, 17, 7, 27]"
72,poly,100.0,1,3,50,"[45, 16, 7, 27]"
73,poly,100.0,1,3,100,"[45, 16, 7, 27]"
74,poly,100.0,1,3,150,"[45, 16, 7, 27]"
75,rbf,100.0,10.0,,50,"[45, 16, 7, 27]"
76,rbf,100.0,10.0,,100,"[45, 16, 8, 26]"
77,rbf,100.0,10.0,,150,"[45, 16, 8, 26]"
78,poly,100.0,10.0,2,50,"[43, 18, 6, 28]"
79,poly,100.0,10.0,2,100,"[44, 17, 9, 25]"
80,poly,100.0,10.0,2,150,"[43, 18, 7, 27]"
81,poly,100.0,10.0,3,50,"[45, 16, 7, 27]"
82,poly,100.0,10.0,3,100,"[45, 16, 7, 27]"
83,poly,100.0,10.0,3,150,"[45, 16, 7, 27]"
84,linear,1000.0,,,50,"[44, 17, 11, 23]"
85,linear,1000.0,,,100,"[44, 17, 7, 27]"
86,linear,1000.0,,,150,"[44, 17, 6, 28]"
87,rbf,1000.0,1,,50,"[45, 16, 7, 27]"
88,rbf,1000.0,1,,100,"[45, 16, 7, 27]"
89,rbf,1000.0,1,,150,"[45, 16, 7, 27]"
90,poly,1000.0,1,2,50,"[44, 17, 9, 25]"
91,poly,1000.0,1,2,100,"[44, 17, 9, 25]"
92,poly,1000.0,1,2,150,"[43, 18, 7, 27]"
93,poly,1000.0,1,3,50,"[45, 16, 7, 27]"
94,poly,1000.0,1,3,100,"[45, 16, 7, 27]"
95,poly,1000.0,1,3,150,"[45, 16, 7, 27]"
96,rbf,1000.0,10.0,,50,"[45, 16, 7, 27]"
97,rbf,1000.0,10.0,,100,"[45, 16, 8, 26]"
98,rbf,1000.0,10.0,,150,"[45, 16, 8, 26]"
99,poly,1000.0,10.0,2,50,"[44, 17, 7, 27]"
100,poly,1000.0,10.0,2,100,"[44, 17, 9, 25]"
101,poly,1000.0,10.0,2,150,"[44, 17, 7, 27]"
102,poly,1000.0,10.0,3,50,"[45, 16, 7, 27]"
103,poly,1000.0,10.0,3,100,"[45, 16, 7, 27]"
104,poly,1000.0,10.0,3,150,"[45, 16, 7, 27]"
