,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[46, 16, 10, 24]","[50, 11, 17, 18]","[45, 16, 10, 25]","[50, 11, 6, 29]","[48, 13, 15, 19]","[49, 12, 8, 26]","[46, 15, 9, 25]","[44, 17, 12, 22]","[42, 19, 7, 27]","[47, 14, 10, 24]"
1,0.001,"[45, 17, 9, 25]","[50, 11, 16, 19]","[45, 16, 10, 25]","[51, 10, 6, 29]","[48, 13, 15, 19]","[49, 12, 8, 26]","[44, 17, 9, 25]","[45, 16, 11, 23]","[43, 18, 6, 28]","[47, 14, 9, 25]"
2,0.01,"[44, 18, 7, 27]","[52, 9, 14, 21]","[45, 16, 9, 26]","[51, 10, 4, 31]","[48, 13, 15, 19]","[49, 12, 6, 28]","[43, 18, 9, 25]","[45, 16, 11, 23]","[40, 21, 6, 28]","[47, 14, 11, 23]"
