,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,,"[183, 123, 27, 144]"
1,1,100,,"[183, 123, 27, 144]"
2,1,150,,"[183, 123, 27, 144]"
3,0,50,,"[216, 90, 34, 137]"
4,0,100,,"[216, 90, 34, 137]"
5,0,150,,"[216, 90, 34, 137]"
