,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[61, 0, 34, 0]"
1,0.0001,0.1,"[61, 0, 34, 0]"
2,0.0001,0.2,"[61, 0, 34, 0]"
3,0.001,0.0,"[42, 19, 9, 25]"
4,0.001,0.1,"[42, 19, 9, 25]"
5,0.001,0.2,"[42, 19, 9, 25]"
