,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[49, 13, 7, 27]","[46, 15, 10, 25]","[44, 17, 8, 27]","[54, 7, 7, 28]","[47, 14, 6, 28]","[47, 14, 11, 23]","[43, 18, 8, 26]","[50, 11, 12, 22]","[39, 22, 7, 27]","[43, 18, 9, 25]"
1,linear,0.1,,,100,"[49, 13, 7, 27]","[46, 15, 10, 25]","[43, 18, 8, 27]","[54, 7, 7, 28]","[47, 14, 6, 28]","[47, 14, 11, 23]","[43, 18, 8, 26]","[49, 12, 12, 22]","[39, 22, 7, 27]","[43, 18, 9, 25]"
2,linear,0.1,,,150,"[49, 13, 7, 27]","[46, 15, 10, 25]","[43, 18, 8, 27]","[54, 7, 7, 28]","[47, 14, 6, 28]","[47, 14, 11, 23]","[43, 18, 8, 26]","[49, 12, 12, 22]","[39, 22, 7, 27]","[43, 18, 9, 25]"
3,rbf,0.1,1.0,,50,"[52, 10, 9, 25]","[49, 12, 14, 21]","[47, 14, 15, 20]","[54, 7, 12, 23]","[49, 12, 9, 25]","[49, 12, 17, 17]","[44, 17, 8, 26]","[51, 10, 19, 15]","[42, 19, 15, 19]","[45, 16, 10, 24]"
4,rbf,0.1,1.0,,100,"[52, 10, 9, 25]","[49, 12, 13, 22]","[48, 13, 18, 17]","[54, 7, 12, 23]","[49, 12, 9, 25]","[49, 12, 17, 17]","[44, 17, 8, 26]","[52, 9, 18, 16]","[42, 19, 15, 19]","[45, 16, 10, 24]"
5,rbf,0.1,1.0,,150,"[52, 10, 9, 25]","[49, 12, 13, 22]","[47, 14, 17, 18]","[54, 7, 12, 23]","[49, 12, 9, 25]","[49, 12, 17, 17]","[44, 17, 8, 26]","[52, 9, 18, 16]","[42, 19, 15, 19]","[45, 16, 10, 24]"
6,poly,0.1,1.0,2.0,50,"[48, 14, 7, 27]","[46, 15, 10, 25]","[43, 18, 10, 25]","[54, 7, 5, 30]","[47, 14, 7, 27]","[47, 14, 10, 24]","[42, 19, 8, 26]","[50, 11, 11, 23]","[39, 22, 10, 24]","[44, 17, 9, 25]"
7,poly,0.1,1.0,2.0,100,"[48, 14, 7, 27]","[46, 15, 10, 25]","[43, 18, 10, 25]","[54, 7, 5, 30]","[46, 15, 7, 27]","[47, 14, 10, 24]","[42, 19, 8, 26]","[50, 11, 11, 23]","[39, 22, 10, 24]","[44, 17, 9, 25]"
8,poly,0.1,1.0,2.0,150,"[48, 14, 7, 27]","[46, 15, 10, 25]","[44, 17, 10, 25]","[53, 8, 5, 30]","[46, 15, 7, 27]","[47, 14, 10, 24]","[42, 19, 8, 26]","[50, 11, 11, 23]","[39, 22, 10, 24]","[44, 17, 9, 25]"
9,poly,0.1,1.0,3.0,50,"[49, 13, 7, 27]","[49, 12, 10, 25]","[45, 16, 10, 25]","[53, 8, 9, 26]","[44, 17, 6, 28]","[47, 14, 12, 22]","[44, 17, 7, 27]","[51, 10, 13, 21]","[40, 21, 11, 23]","[45, 16, 9, 25]"
10,poly,0.1,1.0,3.0,100,"[49, 13, 7, 27]","[46, 15, 10, 25]","[45, 16, 10, 25]","[53, 8, 9, 26]","[43, 18, 6, 28]","[47, 14, 9, 25]","[44, 17, 7, 27]","[51, 10, 13, 21]","[39, 22, 11, 23]","[45, 16, 9, 25]"
11,poly,0.1,1.0,3.0,150,"[49, 13, 7, 27]","[46, 15, 10, 25]","[45, 16, 10, 25]","[53, 8, 9, 26]","[43, 18, 6, 28]","[47, 14, 9, 25]","[44, 17, 7, 27]","[51, 10, 12, 22]","[39, 22, 11, 23]","[45, 16, 9, 25]"
12,rbf,0.1,10.0,,50,"[56, 6, 21, 13]","[55, 6, 17, 18]","[54, 7, 24, 11]","[54, 7, 19, 16]","[52, 9, 15, 19]","[52, 9, 24, 10]","[48, 13, 12, 22]","[52, 9, 23, 11]","[45, 16, 18, 16]","[56, 5, 20, 14]"
13,rbf,0.1,10.0,,100,"[57, 5, 23, 11]","[55, 6, 17, 18]","[54, 7, 24, 11]","[54, 7, 19, 16]","[52, 9, 15, 19]","[52, 9, 24, 10]","[48, 13, 12, 22]","[53, 8, 25, 9]","[45, 16, 18, 16]","[56, 5, 20, 14]"
14,rbf,0.1,10.0,,150,"[57, 5, 23, 11]","[55, 6, 17, 18]","[54, 7, 24, 11]","[54, 7, 19, 16]","[52, 9, 15, 19]","[52, 9, 24, 10]","[48, 13, 12, 22]","[52, 9, 23, 11]","[45, 16, 18, 16]","[56, 5, 20, 14]"
15,poly,0.1,10.0,2.0,50,"[49, 13, 7, 27]","[48, 13, 9, 26]","[45, 16, 12, 23]","[53, 8, 9, 26]","[47, 14, 6, 28]","[46, 15, 12, 22]","[44, 17, 7, 27]","[51, 10, 14, 20]","[41, 20, 11, 23]","[45, 16, 9, 25]"
16,poly,0.1,10.0,2.0,100,"[49, 13, 7, 27]","[48, 13, 9, 26]","[44, 17, 12, 23]","[53, 8, 6, 29]","[46, 15, 6, 28]","[47, 14, 12, 22]","[44, 17, 7, 27]","[51, 10, 13, 21]","[40, 21, 11, 23]","[44, 17, 9, 25]"
17,poly,0.1,10.0,2.0,150,"[48, 14, 7, 27]","[48, 13, 9, 26]","[44, 17, 12, 23]","[53, 8, 6, 29]","[46, 15, 6, 28]","[47, 14, 11, 23]","[44, 17, 7, 27]","[51, 10, 13, 21]","[40, 21, 11, 23]","[44, 17, 9, 25]"
