,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[47, 14, 10, 24]"
1,0.0001,0.1,"[47, 14, 10, 24]"
2,0.0001,0.2,"[49, 12, 11, 23]"
3,0.001,0.0,"[45, 16, 9, 25]"
4,0.001,0.1,"[44, 17, 9, 25]"
5,0.001,0.2,"[44, 17, 9, 25]"
