,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[55, 6, 25, 9]"
1,0.0001,0.1,"[57, 4, 26, 8]"
2,0.0001,0.2,"[50, 11, 16, 18]"
3,0.001,0.0,"[49, 12, 13, 21]"
4,0.001,0.1,"[49, 12, 13, 21]"
5,0.001,0.2,"[46, 15, 13, 21]"
