,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[45, 16, 13, 21]"
1,0.0001,0.1,"[33, 28, 3, 31]"
2,0.0001,0.2,"[45, 16, 15, 19]"
3,0.001,0.0,"[44, 17, 11, 23]"
4,0.001,0.1,"[44, 17, 11, 23]"
5,0.001,0.2,"[44, 17, 11, 23]"
