,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[44, 18, 8, 26]","[45, 16, 10, 25]","[53, 8, 8, 27]","[51, 10, 13, 22]","[51, 10, 9, 25]","[45, 16, 9, 25]","[48, 13, 8, 26]","[44, 17, 9, 25]","[48, 13, 16, 18]","[40, 21, 8, 26]"
1,0.001,"[44, 18, 8, 26]","[45, 16, 10, 25]","[53, 8, 8, 27]","[51, 10, 14, 21]","[51, 10, 8, 26]","[45, 16, 9, 25]","[48, 13, 8, 26]","[44, 17, 9, 25]","[48, 13, 16, 18]","[40, 21, 8, 26]"
2,0.01,"[43, 19, 8, 26]","[45, 16, 8, 27]","[53, 8, 8, 27]","[50, 11, 13, 22]","[51, 10, 9, 25]","[46, 15, 9, 25]","[47, 14, 8, 26]","[43, 18, 9, 25]","[47, 14, 14, 20]","[40, 21, 9, 25]"
