,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[48, 13, 5, 29]"
1,300,10,"[46, 15, 3, 31]"
2,300,15,"[47, 14, 9, 25]"
3,500,5,"[48, 13, 5, 29]"
4,500,10,"[45, 16, 3, 31]"
5,500,15,"[47, 14, 9, 25]"
