,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[46, 15, 10, 24]"
1,0.0001,0.1,"[51, 10, 14, 20]"
2,0.0001,0.2,"[51, 10, 14, 20]"
3,0.001,0.0,"[43, 18, 7, 27]"
4,0.001,0.1,"[43, 18, 7, 27]"
5,0.001,0.2,"[43, 18, 7, 27]"
